date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2017-03-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,TX,77075,Older American,N/A,Phone,2017-03-21,Closed with non-monetary relief,true,No,2397100
2017-04-19,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,,,"Security Credit Services, LLC",IL,60643,,,Web,2017-04-20,Closed with explanation,true,No,2441777
2017-04-19,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,62025,,N/A,Referral,2017-04-20,Closed with explanation,true,No,2441830
2017-04-14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,,N/A,Referral,2017-04-14,Closed with explanation,true,No,2436165
2017-04-19,Credit card,,Credit determination,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,LA,70571,,N/A,Postal mail,2017-04-21,Closed with explanation,true,No,2441726
2017-04-18,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Rubin & Rothman, LLC",NY,14063,,N/A,Referral,2017-04-19,In progress,true,No,2440364
2017-04-18,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"QUICKEN LOANS, INC.",FL,33772,Older American,N/A,Referral,2017-04-19,In progress,true,No,2441409
2016-05-18,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NJ,08618,,N/A,Referral,2016-05-23,Closed with explanation,true,No,1931957
2017-03-17,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,,N/A,Referral,2017-03-20,Closed with explanation,true,No,2393048
2016-11-18,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",,AMERICAN NEIGHBORHOOD MORTGAGE,NJ,088XX,,Consent provided,Web,2016-11-21,Closed with monetary relief,false,No,2216206
2017-04-15,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,,,AES/PHEAA,CA,946XX,,,Web,2017-04-15,Closed with explanation,true,No,2436894
2017-04-20,Money transfers,International money transfer,Fraud or scam,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",MD,208XX,,,Web,2017-04-20,Closed with explanation,true,No,2444452
2016-11-17,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"PMGI, LLC",CA,92356,,N/A,Postal mail,2016-11-18,Closed with non-monetary relief,false,No,2214174
2017-04-17,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,CA,913XX,,Other,Web,2017-04-18,Closed with explanation,true,No,2438698
2017-04-22,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,606XX,,,Web,2017-04-22,Closed with explanation,true,No,2447675
2017-04-19,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,GA,303XX,,,Web,2017-04-19,Closed with explanation,true,No,2442733
2017-03-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92026,,Consent not provided,Web,2017-03-31,Closed with explanation,true,No,2411860
2017-04-04,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98023,,N/A,Phone,2017-04-04,Closed with explanation,true,No,2419089
2017-04-19,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,"Navient Solutions, LLC.",PA,185XX,,,Web,2017-04-21,Closed with explanation,true,No,2443388
2017-04-18,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,SC,290XX,,,Web,2017-04-18,Closed with explanation,true,No,2440279
2017-04-20,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,"Camelot Financial Services, Inc.",TX,78840,,,Web,2017-04-21,Closed with explanation,true,No,2444661
2017-03-04,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,"EQUIFAX, INC.",CA,92683,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371648
2012-05-17,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90242,,N/A,Referral,2012-05-22,Closed with non-monetary relief,false,No,81081
2017-04-06,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,22315,Servicemember,Consent not provided,Web,2017-04-06,Closed with explanation,true,No,2423410
2017-04-21,Prepaid card,Payroll card,"Advertising, marketing or disclosures",,,Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,NC,281XX,,,Web,2017-04-21,Closed with explanation,true,No,2445609
2017-03-04,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Resurgent Capital Services L.P.,TX,75686,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371815
2017-04-06,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,DC,20002,,,Web,2017-04-06,Closed with explanation,true,No,2421040
2017-04-01,Credit card,,Customer service / Customer relations,,,,CAPITAL ONE FINANCIAL CORPORATION,TN,371XX,Servicemember,,Web,2017-04-01,Closed with explanation,true,No,2414717
2016-02-08,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,27703,,N/A,Postal mail,2016-02-08,Closed with explanation,true,No,1776912
2017-04-21,Debt collection,Payday loan,Disclosure verification of debt,Right to dispute notice not received,,,SPEEDY CASH INTERMEDIATE HOLDINGS CORP,TX,773XX,,,Web,2017-04-21,Closed with explanation,true,No,2444768
2017-04-16,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"American Credit Acceptance, LLC",TX,76210,,Consent not provided,Web,2017-04-16,Closed with explanation,true,No,2437313
2017-03-17,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",LA,71292,,Consent not provided,Web,2017-03-18,Closed with non-monetary relief,true,No,2389782
2017-04-18,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,JPMORGAN CHASE & CO.,MD,20772,,N/A,Referral,2017-04-19,Closed with explanation,true,No,2439594
2017-03-04,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371691
2017-04-17,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11221,,N/A,Referral,2017-04-18,Closed with explanation,true,No,2437915
2017-03-04,Bank account or service,Checking account,"Account opening, closing, or management",,"My wife and I visited the Chase Bank branch at XXXX, XXXX, KY on XX/XX/2017 around XXXX AM to open new checking accounts. We were prompted to open these checking accounts because Chase mailed and emailed us vouchers to receive {$300.00} for opening each account and personal friends had also referred us. XXXX was assigned to assist us in this matter. His first question to us was "" where do you work? "". After informing him that we are both were XXXX employees he asked us what we were going to do with our XXXX accounts. We advised him we would be keeping those accounts open. He then asked what we would be using our new Chase accounts for and I advised we would be using those accounts for miscellaneous savings, etc. It was then that XXXX XXXX advised he would not be opening the new accounts for us unless we closed our XXXX accounts and he tossed the Chase Voucher and our ID 's back across the desk to us ( RUDE! ). Confused, I questioned him further about this and he advised that he did not believe we were going to use our new Chase accounts and would just close them in 6 months. Upon clarifying that we would indeed keep the Chase accounts open and meet all of the requirements of the offer he stated that we would not be closing our XXXX accounts. He reiterated that he would not open the accounts for us and advised that he would get his manager XXXX involved. When XXXX XXXX arrived in the office to speak with us she advised that Chase would not be honoring the vouchers and would not open accounts for us because XXXX XXXX told her we were not planning to keep the accounts open and would not be "" using '' the accounts. I advised XXXX XXXX that we intended to meet the minimum requirements ( set up direct deposit and keep the account open for 6 months ) and would keep the accounts open further if we enjoyed the service we received from Chase during that time. I advised we intended to have direct deposit active on the accounts and would be moving money in and out of the accounts, but she did not seem to believe that was qualifying usage of the accounts. She then advised that I had previously opened a Chase account with a coupon about 10 years ago and did not keep it open. However, I believe that account was my primary checking account and I did keep it open for the required period of time and more. It was only when I moved out of state that I closed the account because I did not know if there would be Chase branches in my new area. I am deeply insulted by my experience in trying to open these new accounts and feel that my wife and I have been discriminated against because of our employment with another banking institute. In addition to this occurrence while my wife and I we waiting in the lobby to meet with XXXX XXXX we both were able to clearly observe XXXX 's business interactions with another customer who was in his cubicle/office which has an open door and clear glass windows. We were able to hear their entire conversation and at a certain point XXXX XXXX pulled that customer 's XXXX score. After pulling the XXXX score up on his monitor he swiveled the monitor around so that it was facing directly out the window into the lobby and I could clearly see the customer 's score was XXXX. Being in the banking business I understand well that this is a clear violation of Customer Confidentiality regulations and should be dealt with as such.",,JPMORGAN CHASE & CO.,KY,423XX,,Consent provided,Web,2017-03-04,Closed with explanation,true,Yes,2371744
2017-03-27,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Nationwide Biweekly Administration, Inc.",TX,78705,Older American,,Web,2017-03-27,Closed with explanation,true,No,2404727
2017-03-21,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,34275,,Consent not provided,Web,2017-03-21,Closed with explanation,true,No,2397793
2017-04-21,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,CO,802XX,Older American,,Web,2017-04-21,Closed with explanation,true,No,2444582
2017-03-04,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,The service representative was harsh and not listening to my questions. Attempting to collect on a debt I thought was in a grace period because I had just finished school in XXXX and it is only XXXX. Why would know one contact me prior to this? I let her know I could n't afford the XXXX a month and I needed to lower my payments. They were aggressive and unwilling to hear it. I fully intend on paying my loans just needs to be something I can afford monthly as to not overextend myself. Hate that my loans even ended up with Navient.,,"Navient Solutions, LLC.",OK,741XX,,Consent provided,Web,2017-03-04,Closed with explanation,true,No,2371928
2017-04-17,Prepaid card,Payroll card,"Managing, opening, or closing account",,,,NETSPEND CORPORATION,CA,900XX,,,Web,2017-04-18,In progress,true,No,2439263
2017-04-07,Mortgage,Other mortgage,Other,,,,OCWEN LOAN SERVICING LLC,WA,98223,,N/A,Postal mail,2017-04-07,Closed with explanation,true,No,2424942
2017-03-04,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",PA,19148,Servicemember,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371893
2017-04-17,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,VA,221XX,,,Web,2017-04-17,Closed with explanation,true,No,2438700
2017-04-18,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",VA,23113,Older American,Consent not provided,Web,2017-04-18,Closed with explanation,true,No,2440213
2014-10-23,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92879,,N/A,Referral,2014-10-28,Closed with explanation,true,No,1084242
2017-04-12,Bank account or service,Checking account,Problems caused by my funds being low,,"I have documentation that shows that US Bank would not charge a Returned Item Fee nor an Overdraft Fee on my account ( Number XXXX ). When a withdrawal or other debit came in and there were non-sufficient funds, the payment was returned, without charging any fees, unless the resulting overdraft amount was negligible ( This occurred seven times between XX/XX/XXXX and XX/XX/XXXX on the old account as shown by notices received in the mail attached herein ). 
On XX/XX/XXXX, I opened a new account at US Bank ( XXXX XXXX ). On XX/XX/XXXX, an overdraft fee was charged, and a few days later two other payments were returned, one other was returned and more fees were added. The Bank has failed to provide satisfactorily explanation of this change in policy. At the time of opening the new account, I was not given any notice or warning that new rules would apply. The Bank keeps adding extended overdraft fees. 
In my perception, the bank should have not honored any payments that were underfunded nor charged any fees for overdraft nor returned items because US Bank created a reasonable expectation through consistent behavior upon which reliance was reasonable. The Bank should bring the account to XXXX balance at its own expense. Further, the bank should refrain form a threatened charge off or any other report that will harm my credit history.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,928XX,,Consent provided,Web,2017-04-12,Closed with explanation,true,No,2431565
2017-04-19,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",AL,350XX,Older American,,Web,2017-04-19,Closed with explanation,true,No,2442864
2017-04-19,Credit card,,Other,,,,AMERICAN EXPRESS CENTURION BANK,GA,30030,,N/A,Referral,2017-04-20,Closed with monetary relief,true,No,2443256
2017-03-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,WI,53405,,Consent not provided,Web,2017-03-21,Closed with explanation,true,No,2398113
2017-04-18,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"AC Autopay, LLC",KS,67002,,,Web,2017-04-18,Untimely response,false,No,2437553
2017-04-07,Credit card,,APR or interest rate,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",AZ,85296,,N/A,Referral,2017-04-07,Closed with monetary relief,true,No,2425048
2015-12-17,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"Alpine Credit, Inc",CO,80017,,Consent not provided,Web,2015-12-17,Closed with explanation,false,No,1706577
2017-03-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,28216,,Consent not provided,Web,2017-03-21,Closed with non-monetary relief,true,No,2398377
2017-03-21,Credit reporting,,Incorrect information on credit report,Account status,Experian reporting of XXXX XXXX reflects a foreflosure. this was a short sale of the property done on XX/XX/2013. this is not reported accurately,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,PA,190XX,,Consent provided,Web,2017-03-21,Closed with explanation,true,No,2398200
2017-04-19,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48623,,N/A,Referral,2017-04-20,Closed with explanation,true,No,2441825
2017-03-04,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,NC,28731,Older American,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371632
2017-04-19,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,93550,,Consent not provided,Web,2017-04-19,Closed with explanation,true,No,2443560
2017-04-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,NETSPEND CORPORATION,NH,038XX,Older American,,Web,2017-04-21,Closed with explanation,true,No,2442917
2017-04-21,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",DC,200XX,,,Web,2017-04-21,Closed with explanation,true,No,2447351
2017-03-04,Credit reporting,,Incorrect information on credit report,Personal information,,,"EQUIFAX, INC.",NJ,07843,,Consent not provided,Web,2017-03-04,Closed with non-monetary relief,true,No,2371789
2017-03-10,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98532,"Older American, Servicemember",N/A,Fax,2017-03-14,Closed with explanation,true,No,2381695
2017-04-03,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98052,,N/A,Referral,2017-04-04,Closed with explanation,true,No,2416625
2017-03-04,Bank account or service,Other bank product/service,Using a debit or ATM card,,,,Comerica,NC,28405,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371634
2017-04-05,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20746,,N/A,Referral,2017-04-06,Closed with non-monetary relief,true,No,2421775
2017-03-04,Credit card,,Balance transfer,,"Around XX/XX/XXXX I accepted a credit card offer from my Chase AARP card at a 0 % interest for a year with a 2 % transfer fee. Needing the money, I called Chase and asked them to deposit XXXX into my checking account and, shortly there after, they did so. Now, they are wanting the XXXX. back from my checking account. They say it was their error but they should n't have deposited the money because that checking account has n't been used to pay a Chase fee within 3 months, so could n't be approved for the transfer.. I had XXXX balances so there was no need to make a payment. They made this decision after they deposited the money into my account.They say they will pay the bank fees but where am I supposed to get the XXXX?. I do not have all of the XXXX left and what is there is allocated for checks and payments that have not cleared yet. I accepted their offer and borrowed this money in good faith and have spent many hours on the phone with various Chase reps and am that the account is active, has XXXX available credit, but they can not assign the money already borrowed to that account because it was n't used for 3 months. Surely they can lift the rule to cover their error, but they wo n't. The woman, who said she was a manager, gave me the fax number of Chase Executive Offices as my only recourse. So, I am contacting you. This is an AARP card, available only to XXXX. They are causing havoc in my life and do not care at all. Please help",,JPMORGAN CHASE & CO.,TN,376XX,Older American,Consent provided,Web,2017-03-04,Closed with monetary relief,true,No,2371616
